gene,in_screen,non_growing_m63,amino_acid_biosynthesis_eco01230,wider_biosynthesis_set,in_eco01230,in_eco01240,in_eco00230,in_eco00240
hscc,True,False,False,False,False,False,False,False
hsdm,True,False,False,False,False,False,False,False
hsdr,True,False,False,False,False,False,False,False
hsds,True,False,False,False,False,False,False,False
hslj,True,False,False,False,False,False,False,False
hslo,True,False,False,False,False,False,False,False
hslr,True,False,False,False,False,False,False,False
hslu,True,False,False,False,False,False,False,False
hslv,True,False,False,False,False,False,False,False
hsra,True,False,False,False,False,False,False,False
htga,True,False,False,False,False,False,False,False
htpg,True,False,False,False,False,False,False,False
htpx,True,False,False,False,False,False,False,False
htrc,True,False,False,False,False,False,False,False
htre,True,False,False,False,False,False,False,False
htrg,True,False,False,False,False,False,False,False
htrl,True,False,False,False,False,False,False,False
hupa,True,False,False,False,False,False,False,False
hupb,True,False,False,False,False,False,False,False
hyaa,True,False,False,False,False,False,False,False
hyab,True,False,False,False,False,False,False,False
hyac,True,False,False,False,False,False,False,False
hyad,True,False,False,False,False,False,False,False
hyae,True,False,False,False,False,False,False,False
hyaf,True,False,False,False,False,False,False,False
hyba,True,False,False,False,False,False,False,False
hybb,True,False,False,False,False,False,False,False
hybc,True,False,False,False,False,False,False,False
hybd,True,False,False,False,False,False,False,False
hybe,True,False,False,False,False,False,False,False
hybf,True,False,False,False,False,False,False,False
hybg,True,False,False,False,False,False,False,False
hybo,True,False,False,False,False,False,False,False
hyca,True,False,False,False,False,False,False,False
hycb,True,False,False,False,False,False,False,False
hycc,True,False,False,False,False,False,False,False
hycd,True,False,False,False,False,False,False,False
hyce,True,False,False,False,False,False,False,False
hycf,True,False,False,False,False,False,False,False
hycg,True,False,False,False,False,False,False,False
hych,True,False,False,False,False,False,False,False
hyci,True,False,False,False,False,False,False,False
hydn,True,False,False,False,False,False,False,False
hyfa,True,False,False,False,False,False,False,False
hyfb,True,False,False,False,False,False,False,False
hyfc,True,False,False,False,False,False,False,False
hyfd,True,False,False,False,False,False,False,False
hyfe,True,False,False,False,False,False,False,False
hyff,True,False,False,False,False,False,False,False
hyfg,True,False,False,False,False,False,False,False
hyfh,True,False,False,False,False,False,False,False
hyfi,True,False,False,False,False,False,False,False
hyfj,True,False,False,False,False,False,False,False
hyfr,True,False,False,False,False,False,False,False
hyi,True,False,False,False,False,False,False,False
hypa,True,False,False,False,False,False,False,False
hypb,True,False,False,False,False,False,False,False
hypc,True,False,False,False,False,False,False,False
hypd,True,False,False,False,False,False,False,False
hype,True,False,False,False,False,False,False,False
hypf,True,False,False,False,False,False,False,False
hyua,True,False,False,True,False,False,False,True
iaaa,True,False,False,False,False,False,False,False
iada,True,False,False,False,False,False,False,False
iap,True,False,False,False,False,False,False,False
ibpa,True,False,False,False,False,False,False,False
ibpb,True,False,False,False,False,False,False,False
icd,True,False,True,True,True,False,False,False
icdc,True,False,False,False,False,False,False,False
iclr,True,False,False,False,False,False,False,False
idi,True,False,False,False,False,False,False,False
idnd,True,False,False,False,False,False,False,False
idnk,True,False,False,False,False,False,False,False
idno,True,False,False,False,False,False,False,False
idnr,True,False,False,False,False,False,False,False
idnt,True,False,False,False,False,False,False,False
ihfa,True,False,False,False,False,False,False,False
ihfb,True,False,False,False,False,False,False,False
iles,True,False,False,False,False,False,False,False
ilva,True,True,True,True,True,False,False,False
ilvb,True,False,True,True,True,False,False,False
ilvc,True,True,True,True,True,False,False,False
ilvd,True,True,True,True,True,False,False,False
ilve,True,True,True,True,True,True,False,False
ilvg,True,False,False,False,False,False,False,False
ilvh,True,False,True,True,True,False,False,False
ilvi,True,False,True,True,True,False,False,False
ilvl,True,False,False,False,False,False,False,False
ilvm,True,False,True,True,True,False,False,False
ilvn,True,False,True,True,True,False,False,False
ilvy,True,False,False,False,False,False,False,False
inaa,True,False,False,False,False,False,False,False
inso,True,False,False,False,False,False,False,False
inta,True,False,False,False,False,False,False,False
intb,True,False,False,False,False,False,False,False
intd,True,False,False,False,False,False,False,False
inte,True,False,False,False,False,False,False,False
intf,True,False,False,False,False,False,False,False
intg,True,False,False,False,False,False,False,False
intq,True,False,False,False,False,False,False,False
intr,True,False,False,False,False,False,False,False
ints,True,False,False,False,False,False,False,False
isca,True,False,False,False,False,False,False,False
iscr,True,False,False,False,False,False,False,False
iscs,True,False,False,True,False,True,False,False
iscu,True,False,False,False,False,False,False,False
ivbl,True,False,False,False,False,False,False,False
ivy,True,False,False,False,False,False,False,False
kate,True,False,False,False,False,False,False,False
katg,True,False,False,False,False,False,False,False
kbay,True,False,False,False,False,False,False,False
kbaz,True,False,False,False,False,False,False,False
kbl,True,False,False,False,False,False,False,False
kch,True,False,False,False,False,False,False,False
kdgk,True,False,False,False,False,False,False,False
kdgr,True,False,False,False,False,False,False,False
kdgt,True,False,False,False,False,False,False,False
kdpa,True,False,False,False,False,False,False,False
kdpb,True,False,False,False,False,False,False,False
kdpc,True,False,False,False,False,False,False,False
kdpd,True,False,False,False,False,False,False,False
kdpe,True,False,False,False,False,False,False,False
kdpf,True,False,False,False,False,False,False,False
kdsc,True,False,False,False,False,False,False,False
kdsd,True,False,False,False,False,False,False,False
kdud,True,False,False,False,False,False,False,False
kdui,True,False,False,False,False,False,False,False
kefa,True,False,False,False,False,False,False,False
kefb,True,False,False,False,False,False,False,False
kefc,True,False,False,False,False,False,False,False
keff,True,False,False,False,False,False,False,False
kefg,True,False,False,False,False,False,False,False
kgtp,True,False,False,False,False,False,False,False
kil,True,False,False,False,False,False,False,False
kpta,True,False,False,False,False,False,False,False
ksga,True,False,False,False,False,False,False,False
laca,True,False,False,False,False,False,False,False
laci,True,False,False,False,False,False,False,False
lacy,True,False,False,False,False,False,False,False
lamb,True,False,False,False,False,False,False,False
lar,True,False,False,False,False,False,False,False
ldca,True,False,False,False,False,False,False,False
ldcc,True,False,False,False,False,False,False,False
ldha,True,False,False,False,False,False,False,False
lepa,True,False,False,False,False,False,False,False
leua,True,True,True,True,True,False,False,False
leub,True,True,True,True,True,False,False,False
leuc,True,True,True,True,True,False,False,False
leud,True,True,True,True,True,False,False,False
leul,True,True,False,False,False,False,False,False
leuo,True,False,False,False,False,False,False,False
lhr,True,False,False,False,False,False,False,False
ligb,True,False,False,False,False,False,False,False
ligt,True,False,False,False,False,False,False,False
lipa,True,True,False,True,False,True,False,False
lipb,True,False,False,True,False,True,False,False
lit,True,False,False,False,False,False,False,False
livf,True,False,False,False,False,False,False,False
livg,True,False,False,False,False,False,False,False
livh,True,False,False,False,False,False,False,False
livj,True,False,False,False,False,False,False,False
livk,True,False,False,False,False,False,False,False
livm,True,False,False,False,False,False,False,False
lldd,True,False,False,False,False,False,False,False
lldp,True,False,False,False,False,False,False,False
lldr,True,False,False,False,False,False,False,False
lomr,True,False,False,False,False,False,False,False
lon,True,False,False,False,False,False,False,False
lpca,True,False,False,False,False,False,False,False
lpd,True,False,False,True,False,True,False,False
lpla,True,False,False,True,False,True,False,False
lpp,True,False,False,False,False,False,False,False
lpxl,True,False,False,False,False,False,False,False
lpxm,True,False,False,False,False,False,False,False
lrha,True,False,False,False,False,False,False,False
lrp,True,False,False,False,False,False,False,False
lsrb,True,False,False,False,False,False,False,False
lsrc,True,False,False,False,False,False,False,False
lsrd,True,False,False,False,False,False,False,False
lsrf,True,False,False,False,False,False,False,False
lsrg,True,False,False,False,False,False,False,False
ltae,True,False,True,True,True,False,False,False
luxs,True,False,True,True,True,False,False,False
lysa,True,True,True,True,True,False,False,False
lysc,True,False,True,True,True,False,False,False
lysp,True,False,False,False,False,False,False,False
lysr,True,False,False,False,False,False,False,False
lyss,True,False,False,False,False,False,False,False
lysu,True,False,False,False,False,False,False,False
lyxk,True,False,False,False,False,False,False,False
maa,True,False,False,False,False,False,False,False
maca,True,False,False,False,False,False,False,False
macb,True,False,False,False,False,False,False,False
maeb,True,False,False,False,False,False,False,False
mak,True,False,False,False,False,False,False,False
male,True,False,False,False,False,False,False,False
malf,True,False,False,False,False,False,False,False
malg,True,False,False,False,False,False,False,False
mali,True,False,False,False,False,False,False,False
malk,True,False,False,False,False,False,False,False
malm,True,False,False,False,False,False,False,False
malp,True,False,False,False,False,False,False,False
malq,True,False,False,False,False,False,False,False
mals,True,False,False,False,False,False,False,False
malt,True,False,False,False,False,False,False,False
malx,True,False,False,False,False,False,False,False
maly,True,False,True,True,True,False,False,False
malz,True,False,False,False,False,False,False,False
mana,True,False,False,True,False,True,False,False
manx,True,False,False,False,False,False,False,False
many,True,False,False,False,False,False,False,False
manz,True,False,False,False,False,False,False,False
maoc,True,False,False,False,False,False,False,False
mara,True,False,False,False,False,False,False,False
marb,True,False,False,False,False,False,False,False
marc,True,False,False,False,False,False,False,False
marr,True,False,False,False,False,False,False,False
mazg,True,False,False,True,False,False,True,True
mbha,True,False,False,False,False,False,False,False
mcra,True,False,False,False,False,False,False,False
mcrb,True,False,False,False,False,False,False,False
mcrc,True,False,False,False,False,False,False,False
mdab,True,False,False,False,False,False,False,False
mdh,True,False,False,False,False,False,False,False
mdla,True,False,False,False,False,False,False,False
mdlb,True,False,False,False,False,False,False,False
mdob,True,False,False,False,False,False,False,False
mdoc,True,False,False,False,False,False,False,False
mdod,True,False,False,False,False,False,False,False
mdog,True,False,False,False,False,False,False,False
mdoh,True,False,False,False,False,False,False,False
mdta,True,False,False,False,False,False,False,False
mdtb,True,False,False,False,False,False,False,False
mdtc,True,False,False,False,False,False,False,False
mdtd,True,False,False,False,False,False,False,False
mdte,True,False,False,False,False,False,False,False
mdtf,True,False,False,False,False,False,False,False
mdtg,True,False,False,False,False,False,False,False
mdth,True,False,False,False,False,False,False,False
mdti,True,False,False,False,False,False,False,False
mdtj,True,False,False,False,False,False,False,False
mdtk,True,False,False,False,False,False,False,False
mdtl,True,False,False,False,False,False,False,False
mela,True,False,False,False,False,False,False,False
melb,True,False,False,False,False,False,False,False
melr,True,False,False,False,False,False,False,False
mena,True,False,False,True,False,True,False,False
menb,True,False,False,True,False,True,False,False
menc,True,False,False,True,False,True,False,False
mend,True,False,False,True,False,True,False,False
mene,True,False,False,True,False,True,False,False
menf,True,False,False,True,False,True,False,False
mepa,True,False,False,False,False,False,False,False
meta,True,True,True,True,True,False,False,False
metb,True,True,True,True,True,False,False,False
metc,True,False,True,True,True,False,False,False
mete,True,True,True,True,True,False,False,False
metf,True,True,False,False,False,False,False,False
meth,True,False,True,True,True,False,False,False
meti,True,False,False,False,False,False,False,False
metj,True,False,False,False,False,False,False,False
metl,True,False,True,True,True,False,False,False
metn,True,False,False,False,False,False,False,False
metq,True,False,False,False,False,False,False,False
metr,True,True,False,False,False,False,False,False
mfd,True,False,False,False,False,False,False,False
mgla,True,False,False,False,False,False,False,False
mglb,True,False,False,False,False,False,False,False
mglc,True,False,False,False,False,False,False,False
mgsa,True,False,False,False,False,False,False,False
mgta,True,False,False,False,False,False,False,False
mhpa,True,False,False,False,False,False,False,False
mhpb,True,False,False,False,False,False,False,False
mhpc,True,False,False,False,False,False,False,False
mhpd,True,False,False,False,False,False,False,False
mhpe,True,False,False,False,False,False,False,False
mhpf,True,False,False,False,False,False,False,False
mhpr,True,False,False,False,False,False,False,False
mhpt,True,False,False,False,False,False,False,False
miaa,True,False,False,False,False,False,False,False
miab,True,False,False,False,False,False,False,False
minc,True,False,False,False,False,False,False,False
mioc,True,False,False,False,False,False,False,False
mipa,True,False,False,False,False,False,False,False
mlra,True,False,False,False,False,False,False,False
mlta,True,False,False,False,False,False,False,False
mltb,True,False,False,False,False,False,False,False
mltc,True,False,False,False,False,False,False,False
mltd,True,False,False,False,False,False,False,False
mmum,True,False,False,False,False,False,False,False
mmup,True,False,False,False,False,False,False,False
mnga,True,False,False,False,False,False,False,False
mngb,True,False,False,False,False,False,False,False
mngr,True,False,False,False,False,False,False,False
mnth,True,False,False,False,False,False,False,False
mntr,True,False,False,False,False,False,False,False
moaa,True,False,False,True,False,True,False,False
moab,True,False,False,True,False,True,False,False
moac,True,False,False,True,False,True,False,False
moad,True,False,False,False,False,False,False,False
moae,True,False,False,True,False,True,False,False
moba,True,False,False,False,False,False,False,False
mobb,True,False,False,False,False,False,False,False
moda,True,False,False,False,False,False,False,False
modb,True,False,False,False,False,False,False,False
modc,True,False,False,False,False,False,False,False
mode,True,False,False,False,False,False,False,False
modf,True,False,False,False,False,False,False,False
moea,True,False,False,True,False,True,False,False
moeb,True,False,False,False,False,False,False,False
mog,True,False,False,True,False,True,False,False
molr,True,False,False,False,False,False,False,False
mota,True,False,False,False,False,False,False,False
motb,True,False,False,False,False,False,False,False
mpaa,True,False,False,False,False,False,False,False
mpl,True,False,False,False,False,False,False,False
mppa,True,False,False,False,False,False,False,False
mpra,True,False,False,False,False,False,False,False
mqo,True,False,False,False,False,False,False,False
mraw,True,False,False,False,False,False,False,False
mraz,True,False,False,False,False,False,False,False
mrca,True,False,False,False,False,False,False,False
mrcb,True,False,False,False,False,False,False,False
mrp,True,False,False,False,False,False,False,False
mrr,True,False,False,False,False,False,False,False
mscl,True,False,False,False,False,False,False,False
mscs,True,False,False,False,False,False,False,False
msra,True,False,False,False,False,False,False,False
msyb,True,False,False,False,False,False,False,False
mtga,True,False,False,False,False,False,False,False
mtla,True,False,False,False,False,False,False,False
mtld,True,False,False,False,False,False,False,False
mtlr,True,False,False,False,False,False,False,False
mtr,True,False,False,False,False,False,False,False
murp,True,False,False,False,False,False,False,False
muth,True,False,False,False,False,False,False,False
mutl,True,False,False,False,False,False,False,False
mutm,True,False,False,False,False,False,False,False
muts,True,False,False,False,False,False,False,False
mutt,True,False,False,False,False,False,False,False
muty,True,False,False,False,False,False,False,False
mvim,True,False,False,False,False,False,False,False
nac,True,False,False,False,False,False,False,False
nada,True,True,False,True,False,True,False,False
nadb,True,False,False,True,False,True,False,False
nadc,True,True,False,True,False,True,False,False
nadr,True,False,False,False,False,False,False,False
naga,True,False,False,False,False,False,False,False
nagb,True,False,False,False,False,False,False,False
nagc,True,False,False,False,False,False,False,False
nagd,True,False,False,False,False,False,False,False
nage,True,False,False,False,False,False,False,False
nagz,True,False,False,False,False,False,False,False
nana,True,False,False,False,False,False,False,False
nane,True,False,False,False,False,False,False,False
nank,True,False,False,False,False,False,False,False
nanr,True,False,False,False,False,False,False,False
nant,True,False,False,False,False,False,False,False
napa,True,False,False,False,False,False,False,False
napb,True,False,False,False,False,False,False,False
napc,True,False,False,False,False,False,False,False
napd,True,False,False,False,False,False,False,False
napf,True,False,False,False,False,False,False,False
napg,True,False,False,False,False,False,False,False
naph,True,False,False,False,False,False,False,False
narg,True,False,False,False,False,False,False,False
narh,True,False,False,False,False,False,False,False
nari,True,False,False,False,False,False,False,False
narj,True,False,False,False,False,False,False,False
nark,True,False,False,False,False,False,False,False
narl,True,False,False,False,False,False,False,False
narp,True,False,False,False,False,False,False,False
narq,True,False,False,False,False,False,False,False
naru,True,False,False,False,False,False,False,False
narv,True,False,False,False,False,False,False,False
narw,True,False,False,False,False,False,False,False
narx,True,False,False,False,False,False,False,False
nary,True,False,False,False,False,False,False,False
narz,True,False,False,False,False,False,False,False
ndh,True,False,False,False,False,False,False,False
ndk,True,False,False,True,False,True,True,True
nei,True,False,False,False,False,False,False,False
nema,True,False,False,False,False,False,False,False
nfi,True,False,False,False,False,False,False,False
nfnb,True,False,False,False,False,False,False,False
nfo,True,False,False,False,False,False,False,False
nfra,True,False,False,False,False,False,False,False
nfrb,True,False,False,False,False,False,False,False
nfsa,True,False,False,False,False,False,False,False
nhaa,True,False,False,False,False,False,False,False
nhab,True,False,False,False,False,False,False,False
nhar,True,False,False,False,False,False,False,False
nhoa,True,False,False,False,False,False,False,False
nika,True,False,False,False,False,False,False,False
nikb,True,False,False,False,False,False,False,False
nikc,True,False,False,False,False,False,False,False
nikd,True,False,False,False,False,False,False,False
nike,True,False,False,False,False,False,False,False
nikr,True,False,False,False,False,False,False,False
nine,True,False,False,False,False,False,False,False
nirb,True,False,False,False,False,False,False,False
nirc,True,False,False,False,False,False,False,False
nird,True,False,False,False,False,False,False,False
nlpa,True,False,False,False,False,False,False,False
nlpb,True,False,False,False,False,False,False,False
nlpc,True,False,False,False,False,False,False,False
nlpd,True,False,False,False,False,False,False,False
nlpe,True,False,False,False,False,False,False,False
nlpi,True,False,False,False,False,False,False,False
nmpc,True,False,False,False,False,False,False,False
noha,True,False,False,False,False,False,False,False
nohb,True,False,False,False,False,False,False,False
norr,True,False,False,False,False,False,False,False
norv,True,False,False,False,False,False,False,False
norw,True,False,False,False,False,False,False,False
npr,True,False,False,False,False,False,False,False
nrdd,True,False,False,True,False,False,True,True
nrde,True,False,False,True,False,False,True,True
nrdf,True,False,False,True,False,False,True,True
nrdg,True,False,False,False,False,False,False,False
nrdh,True,False,False,False,False,False,False,False
nrdi,True,False,False,False,False,False,False,False
nrfa,True,False,False,False,False,False,False,False
nrfb,True,False,False,False,False,False,False,False
nrfc,True,False,False,False,False,False,False,False
nrfd,True,False,False,False,False,False,False,False
nrfe,True,False,False,False,False,False,False,False
nrff,True,False,False,False,False,False,False,False
nrfg,True,False,False,False,False,False,False,False
nth,True,False,False,False,False,False,False,False
nudb,True,False,False,True,False,True,False,False
nudc,True,False,False,False,False,False,False,False
nudd,True,False,False,False,False,False,False,False
nude,True,False,False,True,False,False,True,False
nudf,True,False,False,True,False,False,True,False
nudg,True,False,False,True,False,False,False,True
nudh,True,False,False,False,False,False,False,False
nuoa,True,False,False,False,False,False,False,False
nuob,True,False,False,False,False,False,False,False
nuoc,True,False,False,False,False,False,False,False
nuoe,True,False,False,False,False,False,False,False
nuof,True,False,False,False,False,False,False,False
nuog,True,False,False,False,False,False,False,False
nuoh,True,False,False,False,False,False,False,False
nuoi,True,False,False,False,False,False,False,False
nuoj,True,False,False,False,False,False,False,False
nuok,True,False,False,False,False,False,False,False
nuol,True,False,False,False,False,False,False,False
nuom,True,False,False,False,False,False,False,False
nuon,True,False,False,False,False,False,False,False
nupc,True,False,False,False,False,False,False,False
nupg,True,False,False,False,False,False,False,False
nusb,True,False,False,False,False,False,False,False
ogrk,True,False,False,False,False,False,False,False
ogt,True,False,False,False,False,False,False,False
ompa,True,False,False,False,False,False,False,False
ompc,True,False,False,False,False,False,False,False
ompf,True,False,False,False,False,False,False,False
ompg,True,False,False,False,False,False,False,False
ompl,True,False,False,False,False,False,False,False
ompn,True,False,False,False,False,False,False,False
ompr,True,False,False,False,False,False,False,False
ompt,True,False,False,False,False,False,False,False
ompw,True,False,False,False,False,False,False,False
ompx,True,False,False,False,False,False,False,False
oppa,True,False,False,False,False,False,False,False
oppb,True,False,False,False,False,False,False,False
oppc,True,False,False,False,False,False,False,False
oppd,True,False,False,False,False,False,False,False
oppf,True,False,False,False,False,False,False,False
osmb,True,False,False,False,False,False,False,False
osmc,True,False,False,False,False,False,False,False
osme,True,False,False,False,False,False,False,False
osmy,True,False,False,False,False,False,False,False
otsa,True,False,False,False,False,False,False,False
otsb,True,False,False,False,False,False,False,False
oxc,True,False,False,False,False,False,False,False
oxyr,True,False,False,False,False,False,False,False
paaa,True,False,False,False,False,False,False,False
paab,True,False,False,False,False,False,False,False
paac,True,False,False,False,False,False,False,False
paad,True,False,False,False,False,False,False,False
paae,True,False,False,False,False,False,False,False
paaf,True,False,False,False,False,False,False,False
paag,True,False,False,False,False,False,False,False
paah,True,False,False,False,False,False,False,False
paai,True,False,False,False,False,False,False,False
paaj,True,False,False,False,False,False,False,False
paak,True,False,False,False,False,False,False,False
paax,True,False,False,False,False,False,False,False
paay,True,False,False,False,False,False,False,False
paba,True,True,False,True,False,True,False,False
pabb,True,True,False,True,False,True,False,False
pabc,True,False,False,True,False,True,False,False
pal,True,False,False,False,False,False,False,False
panb,True,True,False,True,False,True,False,False
panc,True,True,False,True,False,True,False,False
pand,True,True,False,True,False,True,False,False
pane,True,False,False,True,False,True,False,False
panf,True,False,False,False,False,False,False,False
parc,True,False,False,False,False,False,False,False
pbl,True,False,False,False,False,False,False,False
pbpc,True,False,False,False,False,False,False,False
pbpg,True,False,False,False,False,False,False,False
pck,True,False,False,False,False,False,False,False
pcm,True,False,False,False,False,False,False,False
pcnb,True,False,False,False,False,False,False,False
pdhr,True,False,False,False,False,False,False,False
pdxa,True,True,False,True,False,True,False,False
pdxb,True,True,False,True,False,True,False,False
pdxh,True,False,False,True,False,True,False,False
pdxj,True,False,False,True,False,True,False,False
pdxk,True,False,False,True,False,True,False,False
pdxy,True,False,False,True,False,True,False,False
pepa,True,False,False,False,False,False,False,False
pepb,True,False,False,False,False,False,False,False
pepd,True,False,False,False,False,False,False,False
pepe,True,False,False,False,False,False,False,False
pepn,True,False,False,False,False,False,False,False
pepp,True,False,False,False,False,False,False,False
pepq,True,False,False,False,False,False,False,False
pept,True,False,False,False,False,False,False,False
perr,True,False,False,False,False,False,False,False
pfka,True,False,True,True,True,False,False,False
pfkb,True,False,True,True,True,False,False,False
pfla,True,False,False,False,False,False,False,False
pflb,True,False,False,False,False,False,False,False
pflc,True,False,False,False,False,False,False,False
pfld,True,False,False,False,False,False,False,False
pfs,True,False,False,False,False,False,False,False
pgi,True,False,False,False,False,False,False,False
pgm,True,False,False,True,False,False,True,False
pgpa,True,False,False,False,False,False,False,False
pgpb,True,False,False,False,False,False,False,False
phea,True,True,True,True,True,False,False,False
phel,True,False,False,False,False,False,False,False
phem,True,False,False,False,False,False,False,False
phep,True,False,False,False,False,False,False,False
phna,True,False,False,False,False,False,False,False
phnb,True,False,False,False,False,False,False,False
phnc,True,False,False,False,False,False,False,False
phnd,True,False,False,False,False,False,False,False
phne,True,False,False,False,False,False,False,False
phnf,True,False,False,False,False,False,False,False
phng,True,False,False,False,False,False,False,False
phnh,True,False,False,False,False,False,False,False
phni,True,False,False,False,False,False,False,False
phnj,True,False,False,False,False,False,False,False
phnk,True,False,False,False,False,False,False,False
phnl,True,False,False,False,False,False,False,False
phnm,True,False,False,False,False,False,False,False
phnn,True,False,False,False,False,False,False,False
phno,True,False,False,False,False,False,False,False
phnp,True,False,False,False,False,False,False,False
phoa,True,False,False,True,False,True,False,False
phob,True,False,False,False,False,False,False,False
phoe,True,False,False,False,False,False,False,False
phoh,True,False,False,False,False,False,False,False
phop,True,False,False,False,False,False,False,False
phoq,True,False,False,False,False,False,False,False
phor,True,False,False,False,False,False,False,False
phou,True,False,False,False,False,False,False,False
php,True,False,False,False,False,False,False,False
phr,True,False,False,False,False,False,False,False
pin,True,False,False,False,False,False,False,False
pinh,True,False,False,False,False,False,False,False
pinq,True,False,False,False,False,False,False,False
pinr,True,False,False,False,False,False,False,False
pioo,True,False,False,False,False,False,False,False
pita,True,False,False,False,False,False,False,False
pitb,True,False,False,False,False,False,False,False
plda,True,False,False,False,False,False,False,False
pldb,True,False,False,False,False,False,False,False
plsx,True,False,False,False,False,False,False,False
pmba,True,False,False,False,False,False,False,False
pmrd,True,False,False,False,False,False,False,False
pnca,True,False,False,True,False,True,False,False
pncb,True,False,False,True,False,True,False,False
pnp,True,False,False,False,False,False,False,False
pnta,True,False,False,False,False,False,False,False
pntb,True,False,False,False,False,False,False,False
pnuc,True,False,False,False,False,False,False,False
pola,True,False,False,False,False,False,False,False
polb,True,False,False,False,False,False,False,False
pota,True,False,False,False,False,False,False,False
potb,True,False,False,False,False,False,False,False
potc,True,False,False,False,False,False,False,False
potd,True,False,False,False,False,False,False,False
pote,True,False,False,False,False,False,False,False
potf,True,False,False,False,False,False,False,False
potg,True,False,False,False,False,False,False,False
poth,True,False,False,False,False,False,False,False
poti,True,False,False,False,False,False,False,False
poxa,True,False,False,False,False,False,False,False
poxb,True,False,False,False,False,False,False,False
ppc,True,True,False,False,False,False,False,False
ppda,True,False,False,False,False,False,False,False
ppdb,True,False,False,False,False,False,False,False
ppdc,True,False,False,False,False,False,False,False
ppdd,True,False,False,False,False,False,False,False
ppha,True,False,False,False,False,False,False,False
pphb,True,False,False,False,False,False,False,False
ppia,True,False,False,False,False,False,False,False
ppib,True,False,False,False,False,False,False,False
ppic,True,False,False,False,False,False,False,False
ppid,True,False,False,False,False,False,False,False
ppk,True,False,False,False,False,False,False,False
pppa,True,False,False,False,False,False,False,False
pps,True,False,False,False,False,False,False,False
ppx,True,False,False,True,False,False,True,False
pqia,True,False,False,False,False,False,False,False
pqib,True,False,False,False,False,False,False,False
pqql,True,False,False,False,False,False,False,False
prc,True,False,False,False,False,False,False,False
prfb,True,False,False,False,False,False,False,False
prfc,True,False,False,False,False,False,False,False
prfh,True,False,False,False,False,False,False,False
pria,True,False,False,False,False,False,False,False
prib,True,False,False,False,False,False,False,False
pric,True,False,False,False,False,False,False,False
prkb,True,False,False,False,False,False,False,False
prlc,True,False,False,False,False,False,False,False
prma,True,False,False,False,False,False,False,False
prmb,True,False,False,False,False,False,False,False
proa,True,True,True,True,True,False,False,False
prob,True,True,True,True,True,False,False,False
proc,True,True,True,True,True,False,False,False
prop,True,False,False,False,False,False,False,False
proq,True,False,False,False,False,False,False,False
prov,True,False,False,False,False,False,False,False
prow,True,False,False,False,False,False,False,False
prox,True,False,False,False,False,False,False,False
proy,True,False,False,False,False,False,False,False
prpb,True,False,False,False,False,False,False,False
prpc,True,False,True,True,True,False,False,False
prpd,True,False,False,False,False,False,False,False
prpe,True,False,False,False,False,False,False,False
prpr,True,False,False,False,False,False,False,False
psif,True,False,False,False,False,False,False,False
pspa,True,False,False,False,False,False,False,False
pspb,True,False,False,False,False,False,False,False
pspc,True,False,False,False,False,False,False,False
pspd,True,False,False,False,False,False,False,False
pspe,True,False,False,False,False,False,False,False
pspf,True,False,False,False,False,False,False,False
psta,True,False,False,False,False,False,False,False
pstb,True,False,False,False,False,False,False,False
pstc,True,False,False,False,False,False,False,False
psts,True,False,False,False,False,False,False,False
pta,True,False,False,False,False,False,False,False
ptr,True,False,False,False,False,False,False,False
ptrb,True,False,False,False,False,False,False,False
ptsa,True,False,False,False,False,False,False,False
ptsg,True,False,False,False,False,False,False,False
ptsh,True,False,False,False,False,False,False,False
ptsi,True,False,False,False,False,False,False,False
ptsn,True,False,False,False,False,False,False,False
ptsp,True,False,False,False,False,False,False,False
pura,True,True,False,True,False,True,True,False
purc,True,False,False,True,False,False,True,False
purd,True,True,False,True,False,False,True,False
pure,True,True,False,True,False,False,True,False
purf,True,False,False,True,False,False,True,False
purh,True,True,False,True,False,False,True,False
purk,True,True,False,True,False,False,True,False
purl,True,True,False,True,False,False,True,False
purm,True,True,False,True,False,False,True,False
purn,True,False,False,True,False,False,True,False
purr,True,False,False,False,False,False,False,False
purt,True,False,False,True,False,False,True,False
puru,True,False,False,False,False,False,False,False
puta,True,False,False,False,False,False,False,False
putp,True,False,False,False,False,False,False,False
puua,True,False,False,False,False,False,False,False
puub,True,False,False,False,False,False,False,False
puuc,True,False,False,False,False,False,False,False
puud,True,False,False,False,False,False,False,False
puue,True,False,False,False,False,False,False,False
puup,True,False,False,False,False,False,False,False
puur,True,False,False,False,False,False,False,False
pyka,True,False,True,True,True,False,False,False
pykf,True,False,True,True,True,False,False,False
pyrb,True,True,False,True,False,True,False,True
pyrc,True,True,False,True,False,True,False,True
pyrd,True,True,False,True,False,True,False,True
pyre,True,True,False,True,False,True,False,True
pyrf,True,True,False,True,False,True,False,True
pyri,True,False,False,True,False,True,False,True
pyrl,True,False,False,False,False,False,False,False
qor,True,False,False,False,False,False,False,False
qseb,True,False,False,False,False,False,False,False
qsec,True,False,False,False,False,False,False,False
quea,True,False,False,False,False,False,False,False
racc,True,False,False,False,False,False,False,False
rada,True,False,False,False,False,False,False,False
rara,True,False,False,False,False,False,False,False
rard,True,False,False,False,False,False,False,False
rbba,True,False,False,False,False,False,False,False
rbfa,True,False,False,False,False,False,False,False
rbn,True,False,False,False,False,False,False,False
rbsa,True,False,False,False,False,False,False,False
